"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C22,C25,C26,C27,C28,C29,C30,C31,C33,C35","29","0.1µ","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C20,C21,C32,C34,C36,C37","6","10µ","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C23,C24","2","33p","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C38,C42","2","22µ","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C39,C43","2","6.8n","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C40,C44","2","1µ","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C41,C45","2","44µ","","","","Capacitor_SMD:C_0201_0603Metric","~"
"H1,H2","2","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~"
"J1,J3,J4,J6","4","USB3_A","","","","Connector_USB:USB3_A_Molex_48393-001","~"
"J2","1","USB_C_Receptacle","","","","personal_library:BELFUSE_SS-52400-003","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"L1,L2","2","1.5µ","","","","Inductor_SMD:L_Taiyo-Yuden_NR-40xx","~"
"R1,R5","2","887","","","","Resistor_SMD:R_0201_0603Metric","~"
"R2,R7,R8,R9","4","5.6k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R3","1","43k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R4","1","49.9k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R6","1","12k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R10,R13,R14,R24","4","10k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R11","1","10","","","","Resistor_SMD:R_0201_0603Metric","~"
"R12","1","200k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R15,R19","2","20","","","","Resistor_SMD:R_0201_0603Metric","~"
"R16","1","30k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R17,R21","2","40.2k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R18","1","13k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R20","1","75k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R22","1","82k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R23","1","100k","","","","Resistor_SMD:R_0201_0603Metric","~"
"TP1","1","VBUS","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP2","1","3V3","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP3,TP8","2","1V2","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP4","1","GND","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP5","1","EN1","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP6","1","EN2","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP7","1","EN3","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP9","1","RESET_N","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"TP10","1","DIR","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1","1","USB5744-I_2G","","","","personal_library:USB5744-QFN40P700X700X100-57N",""
"U2","1","HD3SS3212IRKSR","","","","personal_library:QFN50P450X250X100-21N",""
"U3","1","TUSB321","","","","Package_DFN_QFN:Texas_X2QFN-12_1.6x1.6mm_P0.4mm","http://www.ti.com/lit/ds/symlink/tusb321.pdf"
"U4,U5,U6,U7","4","SY6280","","","","personal_library:SOT23-5",""
"U8,U9","2","MP2393GTL-P","","","","MP2393GTL-P:SOT583_MP2393","https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP2393GTL-Z"
"Y1","1","Crystal_GND24","","","","personal_library:403I35D25M00000","~"
